episode,env_return,total_return
247,7.0,62.44253800121444
248,7.0,61.207629422950625
249,4.0,76.05701631701619
250,7.0,64.14758254000895
251,7.0,61.51136982683484
252,6.0,62.236620462870384
253,7.0,69.36701631701622
254,7.0,70.15463869463856
255,5.0,69.47905844155834
256,7.0,65.7773984348984
257,7.0,69.40281093906088
258,7.0,69.55483760047989
259,7.0,53.868574655938126
260,7.0,60.36203097727864
261,7.0,59.40489145013909
262,7.0,61.545699423125846
263,7.0,59.336892274392255
264,7.0,59.15558391943447
265,7.0,58.67523634602258
266,7.0,57.32406932463818
267,7.0,60.893848589490965
268,7.0,62.89026973026968
269,7.0,58.38984274884037
270,7.0,59.40867673992675
271,7.0,62.09336868368985
272,7.0,62.59504370629365
273,7.0,65.66706401441691
274,7.0,65.89539457446568
275,7.0,65.41551531801525
276,7.0,63.846409423909364
277,7.0,63.02139443889441
278,7.0,52.79770777809931
279,4.0,56.24621537124575
280,7.0,55.42618845550732
281,7.0,67.7628877942475
282,7.0,63.8662224965437
283,7.0,65.51752215276983
284,7.0,61.357706257880345
285,5.0,71.52299034299021
286,7.0,56.6523097117021
287,7.0,54.928552054170694
288,6.0,61.490344504204266
289,7.0,63.31930652680649
290,7.0,60.2688605512135
291,7.0,59.25966462459107
292,7.0,61.377226523476494
293,7.0,64.23392773892775
294,7.0,59.11090725451016
295,7.0,64.14526595308708
296,6.0,59.29151622815457
297,7.0,59.47397893772892
298,7.0,61.447579025721396
299,6.0,68.51469072594064
300,7.0,54.89264477524536
301,7.0,66.81000666000665
302,7.0,60.33623401108691
303,7.0,59.78889446853449
304,7.0,56.13157615050627
305,7.0,61.227903701046095
306,7.0,56.80697106814755
307,7.0,63.26958583083578
308,7.0,55.88398940455827
309,7.0,69.64273060273055
310,7.0,62.1187816350316
311,7.0,64.80520670505965
312,7.0,59.58329855129385
313,7.0,62.867579472900644
314,7.0,72.52422684726531
315,7.0,53.65587092558128
316,3.0,55.778841652480786
317,7.0,59.46188578884223
318,7.0,57.65200392100159
319,7.0,69.0259255897853
320,7.0,65.69778180153168
321,7.0,63.9624039685804
322,3.0,58.504553069479506
323,7.0,68.18577696812982
324,7.0,53.683908713835145
325,7.0,61.798179118353225
326,7.0,66.53696345321337
327,7.0,60.26189739182389
