episode,env_return,total_return
0,2.0,56.91374458874458
1,2.0,53.52518306596933
2,5.0,64.52956930324571
3,7.0,73.40440476190469
4,5.0,75.0015476190475
5,4.0,57.15167287949406
6,4.0,67.97284965034954
7,4.0,60.05647102897097
8,2.0,58.81157963940077
9,4.0,57.939711507532685
10,3.0,56.375750083250075
11,2.0,51.861039740254824
12,3.0,48.325701798201834
13,2.0,49.92469703026592
14,3.0,65.89109307359298
15,4.0,64.74354725511837
16,5.0,56.24940859965628
17,5.0,71.09776307026301
18,2.0,43.9175850800386
19,6.0,60.27670752834898
20,1.0,50.12900759714999
21,4.0,52.90445765324841
22,4.0,53.071188070185684
23,2.0,60.52715588333231
24,2.0,56.88878116549617
25,5.0,64.99560189810187
26,3.0,59.283756660006645
27,2.0,58.3244297369297
28,4.0,69.68651194393826
29,3.0,51.88107375467672
30,3.0,58.26674655581767
31,3.0,64.37642857142849
32,5.0,68.19530160584007
33,3.0,51.23374924057409
34,4.0,61.24408341658337
35,2.0,50.16704721104487
36,6.0,72.76843739593726
37,6.0,73.70796120546107
38,1.0,48.32235524885891
39,3.0,52.65795005819774
40,3.0,49.956706490171555
41,5.0,68.46361180486169
42,2.0,58.447341377662546
43,5.0,68.58061908679548
44,3.0,61.34558120800758
45,5.0,63.238066485887614
46,4.0,64.75441546420394
47,4.0,64.6970379620379
48,1.0,49.225716336037536
49,3.0,58.745599523025916
50,6.0,69.87110389610382
51,4.0,69.57822094572084
52,3.0,57.830563572134764
53,5.0,67.46072094572084
54,4.0,61.46170201702313
55,4.0,61.18611400854045
56,5.0,69.36147311022305
57,4.0,68.64968237000346
58,2.0,53.10523777048546
59,2.0,53.662964328824124
60,4.0,55.74026411448885
61,2.0,50.78920338820103
62,3.0,52.8771659029824
63,2.0,54.659660339660356
64,4.0,45.88626219239997
65,3.0,59.3081819406084
66,6.0,73.24417748917735
67,4.0,62.617271894771854
68,3.0,64.36703463203459
69,1.0,47.73395046427302
70,5.0,61.93990367044216
71,4.0,61.93894605394601
72,3.0,55.62611163346453
73,7.0,75.38823926073908
