episode,env_return,total_return,steps
265,9.0,9.0,343
266,9.0,9.0,201
267,7.0,7.0,400
268,7.0,7.0,400
269,6.0,6.0,400
270,7.0,7.0,400
271,9.0,9.0,130
272,7.0,7.0,400
273,9.0,9.0,122
274,9.0,9.0,327
275,7.0,7.0,400
276,7.0,7.0,400
277,7.0,7.0,400
278,7.0,7.0,400
279,7.0,7.0,400
280,7.0,7.0,400
281,7.0,7.0,400
282,9.0,9.0,317
283,7.0,7.0,400
284,7.0,7.0,400
285,9.0,9.0,393
286,7.0,7.0,400
287,7.0,7.0,400
288,7.0,7.0,400
289,9.0,9.0,371
290,7.0,7.0,400
291,7.0,7.0,400
292,7.0,7.0,400
293,7.0,7.0,400
294,6.0,6.0,400
295,4.0,4.0,400
296,7.0,7.0,400
297,7.0,7.0,400
298,7.0,7.0,400
299,9.0,9.0,245
300,9.0,9.0,305
301,7.0,7.0,400
302,7.0,7.0,400
303,7.0,7.0,400
304,9.0,9.0,181
305,7.0,7.0,400
306,7.0,7.0,400
307,7.0,7.0,400
308,7.0,7.0,400
309,7.0,7.0,400
310,7.0,7.0,400
311,7.0,7.0,400
312,9.0,9.0,319
313,6.0,6.0,400
314,7.0,7.0,400
315,7.0,7.0,400
316,7.0,7.0,400
317,7.0,7.0,400
318,7.0,7.0,400
319,6.0,6.0,400
320,7.0,7.0,400
321,7.0,7.0,400
322,7.0,7.0,400
323,7.0,7.0,400
324,7.0,7.0,400
325,9.0,9.0,330
326,7.0,7.0,400
327,7.0,7.0,400
328,7.0,7.0,400
329,7.0,7.0,400
330,7.0,7.0,400
331,9.0,9.0,241
332,6.0,6.0,400
333,9.0,9.0,269
334,7.0,7.0,400
335,7.0,7.0,400
336,7.0,7.0,400
337,7.0,7.0,400
338,9.0,9.0,185
339,9.0,9.0,209
340,7.0,7.0,400
341,9.0,9.0,202
342,9.0,9.0,301
343,7.0,7.0,400
344,5.0,5.0,400
345,7.0,7.0,400
346,9.0,9.0,327
347,7.0,7.0,400
348,9.0,9.0,103
349,9.0,9.0,203
350,9.0,9.0,373
351,7.0,7.0,400
352,8.0,8.0,400
353,9.0,9.0,326
354,9.0,9.0,271
355,9.0,9.0,246
356,7.0,7.0,400
357,9.0,9.0,292
358,9.0,9.0,166
359,9.0,9.0,181
360,9.0,9.0,331
361,4.0,4.0,400
362,9.0,9.0,156
363,8.0,8.0,400
364,6.0,6.0,400
365,9.0,9.0,322
366,9.0,9.0,355
367,9.0,9.0,254
368,9.0,9.0,104
369,9.0,9.0,144
370,9.0,9.0,308
371,9.0,9.0,215
372,9.0,9.0,188
373,5.0,5.0,400
374,9.0,9.0,117
375,9.0,9.0,165
376,9.0,9.0,278
377,9.0,9.0,129
378,9.0,9.0,150
379,9.0,9.0,119
380,9.0,9.0,114
381,7.0,7.0,400
382,9.0,9.0,336
383,9.0,9.0,167
384,9.0,9.0,131
385,9.0,9.0,168
386,9.0,9.0,113
387,9.0,9.0,116
388,9.0,9.0,89
389,9.0,9.0,113
390,9.0,9.0,152
391,9.0,9.0,137
392,9.0,9.0,161
393,9.0,9.0,135
394,9.0,9.0,149
395,9.0,9.0,120
396,9.0,9.0,94
397,9.0,9.0,57
398,9.0,9.0,110
399,9.0,9.0,153
400,9.0,9.0,141
401,9.0,9.0,128
402,9.0,9.0,109
403,9.0,9.0,130
404,9.0,9.0,158
405,9.0,9.0,147
406,9.0,9.0,150
407,7.0,7.0,400
408,9.0,9.0,91
409,9.0,9.0,156
410,9.0,9.0,112
411,9.0,9.0,114
412,9.0,9.0,114
413,9.0,9.0,159
414,9.0,9.0,104
415,9.0,9.0,111
416,9.0,9.0,111
417,9.0,9.0,107
418,9.0,9.0,118
419,9.0,9.0,114
420,9.0,9.0,103
421,9.0,9.0,120
422,6.0,6.0,400
423,9.0,9.0,105
424,9.0,9.0,141
425,9.0,9.0,120
426,9.0,9.0,107
427,9.0,9.0,119
428,9.0,9.0,111
429,9.0,9.0,122
430,9.0,9.0,99
431,9.0,9.0,120
432,9.0,9.0,132
433,9.0,9.0,170
434,9.0,9.0,98
435,9.0,9.0,111
436,9.0,9.0,124
437,9.0,9.0,85
438,9.0,9.0,107
439,9.0,9.0,101
440,9.0,9.0,102
441,9.0,9.0,71
442,9.0,9.0,124
443,9.0,9.0,102
444,9.0,9.0,98
445,9.0,9.0,101
446,9.0,9.0,78
447,9.0,9.0,144
448,9.0,9.0,104
449,9.0,9.0,138
450,9.0,9.0,112
451,9.0,9.0,109
452,9.0,9.0,141
453,9.0,9.0,109
454,9.0,9.0,101
455,9.0,9.0,97
456,9.0,9.0,103
457,9.0,9.0,112
