episode,env_return,total_return,steps
0,2.0,56.35921328671327,400
1,1.0,50.91673068501697,400
2,7.0,71.42899142524138,400
3,4.0,68.23658341658333,400
4,5.0,67.59369380619374,400
5,5.0,58.05362105386864,400
6,1.0,61.50411267653909,400
7,4.0,63.38750666000657,400
8,4.0,64.72977272727266,400
9,5.0,61.202460425281615,400
10,2.0,51.59837995337998,400
11,4.0,69.74786796536785,400
12,2.0,49.60607392607395,400
13,1.0,62.22562021312018,400
14,3.0,65.28907259407252,400
15,4.0,62.31662129537126,400
16,5.0,67.46750333000325,400
17,5.0,67.3508399933399,400
18,2.0,42.31147814775521,400
19,4.0,50.05934928939008,400
20,2.0,59.88398726273721,400
21,8.0,75.54868298368282,400
22,5.0,76.44834415584398,400
23,1.0,56.544318181818134,400
24,2.0,53.29139673407085,400
25,8.0,76.85024475524466,400
26,4.0,59.36103976261089,400
27,4.0,66.74678904428893,400
28,5.0,69.16205960705949,400
29,8.0,72.62820679320673,400
30,3.0,58.037505827505775,400
31,4.0,66.67832584082574,400
32,4.0,66.986313510602,400
33,4.0,58.42061932523501,400
34,6.0,61.62011318918438,400
35,2.0,56.83289210789205,400
36,6.0,65.44173380541017,400
37,6.0,76.22251082251069,400
38,3.0,57.725475357975334,400
39,2.0,37.069170900132406,400
40,4.0,60.142938709515846,400
41,6.0,72.59776194393828,400
42,3.0,61.297654397975535,400
43,5.0,66.76871545121539,400
44,2.0,59.19609307359303,400
45,9.0,59.847380952380846,304
46,2.0,62.4010564435564,400
47,5.0,71.91542403896256,400
48,2.0,56.10693159537075,400
49,3.0,65.50541583416576,400
50,4.0,63.24991628038126,400
51,5.0,69.88655844155831,400
52,3.0,64.47845571095564,400
53,7.0,70.17525974025963,400
54,4.0,69.53050116550105,400
55,4.0,59.566388435676934,400
56,6.0,79.81965367965357,400
57,3.0,62.5475628538128,400
58,3.0,65.91541999666994,400
59,2.0,54.069634395599444,400
60,1.0,43.463004086538035,400
61,4.0,54.226124523085474,400
62,2.0,50.45791769505005,400
63,5.0,64.57281968031958,400
64,1.0,54.73516412299131,400
65,2.0,63.56108891108886,400
