episode,env_return,total_return,steps
0,2.0,2.0,400
1,0.0,0.0,37
2,0.0,0.0,400
3,0.0,0.0,400
4,0.0,0.0,400
5,0.0,0.0,28
6,0.0,0.0,35
7,0.0,0.0,84
8,0.0,0.0,42
9,0.0,0.0,55
10,0.0,0.0,52
11,0.0,0.0,121
12,0.0,0.0,144
13,0.0,0.0,400
14,0.0,0.0,334
15,0.0,0.0,400
16,1.0,1.0,386
17,0.0,0.0,26
18,1.0,1.0,173
19,0.0,0.0,216
20,0.0,0.0,20
21,0.0,0.0,10
22,0.0,0.0,25
23,0.0,0.0,66
24,0.0,0.0,48
25,0.0,0.0,400
26,0.0,0.0,25
27,0.0,0.0,85
28,0.0,0.0,195
29,0.0,0.0,400
30,0.0,0.0,400
31,0.0,0.0,83
32,2.0,2.0,400
33,2.0,2.0,400
34,0.0,0.0,400
35,0.0,0.0,6
36,0.0,0.0,27
37,0.0,0.0,327
38,0.0,0.0,74
39,0.0,0.0,52
40,0.0,0.0,41
41,0.0,0.0,400
42,0.0,0.0,13
43,0.0,0.0,162
44,0.0,0.0,112
45,0.0,0.0,64
46,0.0,0.0,400
47,2.0,2.0,400
48,0.0,0.0,74
49,0.0,0.0,399
50,0.0,0.0,183
51,0.0,0.0,400
52,1.0,1.0,122
53,0.0,0.0,43
54,0.0,0.0,307
55,0.0,0.0,39
56,0.0,0.0,186
57,0.0,0.0,35
58,0.0,0.0,400
59,0.0,0.0,51
60,0.0,0.0,244
61,1.0,1.0,219
62,0.0,0.0,147
63,0.0,0.0,171
64,0.0,0.0,53
65,0.0,0.0,299
66,0.0,0.0,137
67,0.0,0.0,32
68,2.0,2.0,185
69,0.0,0.0,56
70,0.0,0.0,400
71,0.0,0.0,73
72,2.0,2.0,247
73,2.0,2.0,301
74,0.0,0.0,220
75,0.0,0.0,127
76,0.0,0.0,116
77,0.0,0.0,24
78,1.0,1.0,231
79,3.0,3.0,210
80,1.0,1.0,84
81,0.0,0.0,51
82,1.0,1.0,34
83,0.0,0.0,241
84,0.0,0.0,345
85,0.0,0.0,65
86,0.0,0.0,28
87,0.0,0.0,34
88,1.0,1.0,36
89,0.0,0.0,11
90,1.0,1.0,108
91,0.0,0.0,76
92,0.0,0.0,136
93,0.0,0.0,52
94,2.0,2.0,400
95,0.0,0.0,40
96,0.0,0.0,18
97,1.0,1.0,207
98,0.0,0.0,278
99,0.0,0.0,41
100,0.0,0.0,59
101,3.0,3.0,72
102,0.0,0.0,83
103,0.0,0.0,88
104,0.0,0.0,80
105,1.0,1.0,50
106,0.0,0.0,6
107,0.0,0.0,20
108,0.0,0.0,22
109,0.0,0.0,21
110,0.0,0.0,11
111,0.0,0.0,83
112,0.0,0.0,81
113,0.0,0.0,400
114,0.0,0.0,336
115,2.0,2.0,130
116,2.0,2.0,66
117,0.0,0.0,55
118,0.0,0.0,12
119,3.0,3.0,74
120,1.0,1.0,41
121,0.0,0.0,25
122,0.0,0.0,41
123,0.0,0.0,58
124,0.0,0.0,100
125,0.0,0.0,62
126,2.0,2.0,282
127,1.0,1.0,80
128,0.0,0.0,101
129,1.0,1.0,87
130,1.0,1.0,138
131,2.0,2.0,89
132,0.0,0.0,22
133,0.0,0.0,15
134,2.0,2.0,146
135,0.0,0.0,36
136,1.0,1.0,59
137,0.0,0.0,42
138,3.0,3.0,112
139,3.0,3.0,127
140,0.0,0.0,13
141,0.0,0.0,66
142,0.0,0.0,68
143,0.0,0.0,24
144,3.0,3.0,112
145,0.0,0.0,64
146,0.0,0.0,20
147,0.0,0.0,11
148,2.0,2.0,217
149,2.0,2.0,134
150,3.0,3.0,89
151,0.0,0.0,43
152,0.0,0.0,46
153,3.0,3.0,61
154,1.0,1.0,92
155,0.0,0.0,16
156,0.0,0.0,30
157,3.0,3.0,88
158,0.0,0.0,36
159,0.0,0.0,16
160,0.0,0.0,69
161,3.0,3.0,203
162,3.0,3.0,41
163,0.0,0.0,45
164,0.0,0.0,44
165,0.0,0.0,88
166,1.0,1.0,47
167,0.0,0.0,6
168,3.0,3.0,77
169,0.0,0.0,23
170,0.0,0.0,11
171,1.0,1.0,91
172,0.0,0.0,19
173,3.0,3.0,71
174,0.0,0.0,22
175,2.0,2.0,65
176,0.0,0.0,23
177,1.0,1.0,39
178,3.0,3.0,73
179,3.0,3.0,82
180,3.0,3.0,90
181,0.0,0.0,51
182,3.0,3.0,145
183,1.0,1.0,33
184,0.0,0.0,23
185,0.0,0.0,14
186,0.0,0.0,7
187,1.0,1.0,147
188,2.0,2.0,76
189,0.0,0.0,25
190,0.0,0.0,53
191,3.0,3.0,72
192,1.0,1.0,125
193,2.0,2.0,128
194,3.0,3.0,41
195,2.0,2.0,60
196,0.0,0.0,21
197,0.0,0.0,20
198,0.0,0.0,37
199,3.0,3.0,66
200,3.0,3.0,44
201,0.0,0.0,48
202,2.0,2.0,42
203,0.0,0.0,44
204,0.0,0.0,38
205,0.0,0.0,27
206,3.0,3.0,57
207,3.0,3.0,36
208,3.0,3.0,51
209,1.0,1.0,58
210,3.0,3.0,70
211,2.0,2.0,400
212,3.0,3.0,74
213,0.0,0.0,11
214,1.0,1.0,109
215,3.0,3.0,78
216,3.0,3.0,81
217,0.0,0.0,69
218,0.0,0.0,78
219,3.0,3.0,98
220,3.0,3.0,61
221,3.0,3.0,105
222,3.0,3.0,70
223,2.0,2.0,41
224,1.0,1.0,57
225,3.0,3.0,76
226,2.0,2.0,116
227,2.0,2.0,73
