episode,env_return,total_return,steps
0,0.0,0.0,234
1,0.0,0.0,75
2,0.0,0.0,32
3,0.0,0.0,29
4,1.0,1.0,81
5,0.0,0.0,93
6,0.0,0.0,79
7,0.0,0.0,400
8,0.0,0.0,158
9,2.0,2.0,143
10,0.0,0.0,238
11,0.0,0.0,18
12,0.0,0.0,355
13,0.0,0.0,34
14,0.0,0.0,32
15,0.0,0.0,53
16,2.0,2.0,128
17,0.0,0.0,400
18,0.0,0.0,4
19,0.0,0.0,18
20,0.0,0.0,70
21,0.0,0.0,27
22,0.0,0.0,58
23,0.0,0.0,151
24,0.0,0.0,85
25,0.0,0.0,8
26,0.0,0.0,64
27,0.0,0.0,25
28,1.0,1.0,191
29,0.0,0.0,66
30,0.0,0.0,27
31,0.0,0.0,36
32,2.0,2.0,138
33,0.0,0.0,71
34,0.0,0.0,105
35,0.0,0.0,76
36,0.0,0.0,100
37,0.0,0.0,170
38,0.0,0.0,400
39,0.0,0.0,25
40,0.0,0.0,189
41,0.0,0.0,21
42,0.0,0.0,400
43,0.0,0.0,66
44,0.0,0.0,171
45,0.0,0.0,71
46,2.0,2.0,113
47,0.0,0.0,28
48,0.0,0.0,134
49,1.0,1.0,303
50,0.0,0.0,130
51,0.0,0.0,48
52,0.0,0.0,70
53,0.0,0.0,16
54,1.0,1.0,99
55,0.0,0.0,400
56,0.0,0.0,108
57,0.0,0.0,400
58,0.0,0.0,186
59,0.0,0.0,11
60,0.0,0.0,125
61,0.0,0.0,276
62,2.0,2.0,400
63,0.0,0.0,34
64,0.0,0.0,80
65,0.0,0.0,10
66,1.0,1.0,317
67,0.0,0.0,38
68,0.0,0.0,56
69,1.0,1.0,58
70,0.0,0.0,400
71,0.0,0.0,8
72,3.0,3.0,209
73,0.0,0.0,400
74,0.0,0.0,23
75,0.0,0.0,158
76,0.0,0.0,45
77,0.0,0.0,104
78,1.0,1.0,37
79,0.0,0.0,240
80,0.0,0.0,369
81,0.0,0.0,50
82,0.0,0.0,27
83,0.0,0.0,27
84,0.0,0.0,31
85,0.0,0.0,30
86,1.0,1.0,163
87,0.0,0.0,32
88,3.0,3.0,148
89,0.0,0.0,7
90,3.0,3.0,179
91,1.0,1.0,95
92,2.0,2.0,83
93,0.0,0.0,67
94,1.0,1.0,140
95,0.0,0.0,39
96,3.0,3.0,121
97,0.0,0.0,22
98,0.0,0.0,135
99,2.0,2.0,93
100,0.0,0.0,26
101,0.0,0.0,22
102,0.0,0.0,35
103,1.0,1.0,43
104,3.0,3.0,177
105,2.0,2.0,67
106,1.0,1.0,28
107,0.0,0.0,42
108,0.0,0.0,17
109,0.0,0.0,34
110,0.0,0.0,38
111,0.0,0.0,44
112,2.0,2.0,45
113,2.0,2.0,62
114,0.0,0.0,51
115,0.0,0.0,14
116,1.0,1.0,31
117,0.0,0.0,4
118,0.0,0.0,68
119,0.0,0.0,18
120,0.0,0.0,89
121,0.0,0.0,324
122,2.0,2.0,130
123,0.0,0.0,44
124,3.0,3.0,69
125,0.0,0.0,32
126,0.0,0.0,28
127,0.0,0.0,4
128,3.0,3.0,123
129,1.0,1.0,162
130,0.0,0.0,48
131,0.0,0.0,15
132,0.0,0.0,103
133,0.0,0.0,24
134,0.0,0.0,14
135,0.0,0.0,16
136,0.0,0.0,22
137,2.0,2.0,95
138,0.0,0.0,20
139,0.0,0.0,27
140,0.0,0.0,29
141,0.0,0.0,12
142,0.0,0.0,18
143,1.0,1.0,58
144,0.0,0.0,22
145,0.0,0.0,17
146,0.0,0.0,49
147,0.0,0.0,27
148,0.0,0.0,17
149,1.0,1.0,39
150,0.0,0.0,15
151,0.0,0.0,41
152,3.0,3.0,66
153,3.0,3.0,44
154,1.0,1.0,38
155,0.0,0.0,13
156,1.0,1.0,40
157,0.0,0.0,23
158,0.0,0.0,103
159,0.0,0.0,14
160,0.0,0.0,101
161,0.0,0.0,100
162,0.0,0.0,12
163,0.0,0.0,15
164,0.0,0.0,20
165,1.0,1.0,131
166,1.0,1.0,72
167,3.0,3.0,112
168,0.0,0.0,19
169,0.0,0.0,29
170,3.0,3.0,64
171,0.0,0.0,28
172,0.0,0.0,28
173,1.0,1.0,49
174,1.0,1.0,139
175,3.0,3.0,32
176,0.0,0.0,38
177,3.0,3.0,33
178,0.0,0.0,99
179,0.0,0.0,8
180,0.0,0.0,17
181,1.0,1.0,133
182,0.0,0.0,6
183,0.0,0.0,39
184,3.0,3.0,107
185,0.0,0.0,13
186,3.0,3.0,63
187,3.0,3.0,59
188,0.0,0.0,43
189,0.0,0.0,6
190,0.0,0.0,23
191,0.0,0.0,50
192,3.0,3.0,55
193,3.0,3.0,70
194,0.0,0.0,31
195,0.0,0.0,16
196,3.0,3.0,76
197,3.0,3.0,36
198,1.0,1.0,45
199,3.0,3.0,61
200,0.0,0.0,17
201,1.0,1.0,39
202,3.0,3.0,97
203,0.0,0.0,8
204,1.0,1.0,102
205,0.0,0.0,18
206,0.0,0.0,33
207,0.0,0.0,28
208,0.0,0.0,43
209,0.0,0.0,11
210,3.0,3.0,57
211,2.0,2.0,100
212,0.0,0.0,9
213,2.0,2.0,94
214,1.0,1.0,43
215,0.0,0.0,10
216,1.0,1.0,46
217,3.0,3.0,54
218,3.0,3.0,33
219,0.0,0.0,6
220,3.0,3.0,128
221,0.0,0.0,13
222,0.0,0.0,17
223,3.0,3.0,37
224,3.0,3.0,43
225,0.0,0.0,35
226,2.0,2.0,84
227,3.0,3.0,70
228,0.0,0.0,25
229,0.0,0.0,11
230,3.0,3.0,63
231,0.0,0.0,22
232,3.0,3.0,29
233,3.0,3.0,43
234,3.0,3.0,45
235,3.0,3.0,54
236,0.0,0.0,16
237,3.0,3.0,104
238,3.0,3.0,65
239,3.0,3.0,69
240,3.0,3.0,66
241,0.0,0.0,14
242,0.0,0.0,47
243,3.0,3.0,48
244,3.0,3.0,62
245,3.0,3.0,28
246,3.0,3.0,42
247,3.0,3.0,47
248,0.0,0.0,11
249,3.0,3.0,47
250,0.0,0.0,7
251,0.0,0.0,11
252,3.0,3.0,47
253,0.0,0.0,11
254,0.0,0.0,12
255,3.0,3.0,48
256,3.0,3.0,46
257,0.0,0.0,12
258,0.0,0.0,15
259,3.0,3.0,25
260,0.0,0.0,6
261,3.0,3.0,39
262,3.0,3.0,28
263,3.0,3.0,38
264,3.0,3.0,27
265,3.0,3.0,78
266,3.0,3.0,31
267,0.0,0.0,26
268,3.0,3.0,46
269,0.0,0.0,11
270,3.0,3.0,48
271,0.0,0.0,4
272,0.0,0.0,22
273,3.0,3.0,33
274,0.0,0.0,16
275,3.0,3.0,74
276,0.0,0.0,10
277,0.0,0.0,14
278,3.0,3.0,57
279,0.0,0.0,21
280,3.0,3.0,36
281,2.0,2.0,59
282,3.0,3.0,21
283,0.0,0.0,6
284,3.0,3.0,36
285,3.0,3.0,24
286,0.0,0.0,28
287,0.0,0.0,8
288,0.0,0.0,8
289,3.0,3.0,26
290,3.0,3.0,59
291,0.0,0.0,12
292,3.0,3.0,64
293,0.0,0.0,23
294,0.0,0.0,22
295,1.0,1.0,50
296,0.0,0.0,6
297,3.0,3.0,47
298,3.0,3.0,57
299,3.0,3.0,31
300,0.0,0.0,23
301,3.0,3.0,86
302,0.0,0.0,16
303,0.0,0.0,31
304,0.0,0.0,17
305,0.0,0.0,19
306,0.0,0.0,10
307,3.0,3.0,91
308,0.0,0.0,37
309,3.0,3.0,38
310,3.0,3.0,38
311,3.0,3.0,34
312,0.0,0.0,25
313,3.0,3.0,31
314,3.0,3.0,50
315,0.0,0.0,10
316,0.0,0.0,16
317,0.0,0.0,14
318,0.0,0.0,21
319,3.0,3.0,28
320,3.0,3.0,36
321,3.0,3.0,25
322,3.0,3.0,19
323,0.0,0.0,19
324,3.0,3.0,41
325,0.0,0.0,9
326,0.0,0.0,18
327,3.0,3.0,44
328,2.0,2.0,69
329,0.0,0.0,30
330,0.0,0.0,5
331,0.0,0.0,25
332,0.0,0.0,23
333,0.0,0.0,16
334,3.0,3.0,30
335,0.0,0.0,21
336,3.0,3.0,22
337,1.0,1.0,33
338,0.0,0.0,4
339,3.0,3.0,64
340,3.0,3.0,31
341,0.0,0.0,22
342,3.0,3.0,48
343,3.0,3.0,36
344,3.0,3.0,55
345,1.0,1.0,25
346,3.0,3.0,25
347,3.0,3.0,50
348,0.0,0.0,7
349,3.0,3.0,30
350,3.0,3.0,30
351,0.0,0.0,12
352,0.0,0.0,8
353,3.0,3.0,19
354,0.0,0.0,5
355,3.0,3.0,57
356,3.0,3.0,24
357,3.0,3.0,34
358,3.0,3.0,32
359,3.0,3.0,40
360,3.0,3.0,30
361,3.0,3.0,32
362,3.0,3.0,43
363,3.0,3.0,25
364,0.0,0.0,9
365,0.0,0.0,11
366,3.0,3.0,22
367,2.0,2.0,26
368,3.0,3.0,48
369,3.0,3.0,48
370,0.0,0.0,7
371,0.0,0.0,6
372,3.0,3.0,33
373,3.0,3.0,26
374,0.0,0.0,11
375,0.0,0.0,12
376,3.0,3.0,15
377,3.0,3.0,29
378,3.0,3.0,21
379,3.0,3.0,48
380,3.0,3.0,19
381,0.0,0.0,11
382,3.0,3.0,40
383,3.0,3.0,24
384,3.0,3.0,35
385,3.0,3.0,21
386,3.0,3.0,41
387,3.0,3.0,27
388,3.0,3.0,26
389,3.0,3.0,30
390,3.0,3.0,43
391,3.0,3.0,36
392,3.0,3.0,26
393,1.0,1.0,42
394,3.0,3.0,23
395,3.0,3.0,36
396,3.0,3.0,34
397,3.0,3.0,27
398,3.0,3.0,39
399,3.0,3.0,20
400,3.0,3.0,26
401,3.0,3.0,37
402,0.0,0.0,17
403,3.0,3.0,17
404,3.0,3.0,27
405,3.0,3.0,18
406,3.0,3.0,34
407,0.0,0.0,11
408,3.0,3.0,35
409,3.0,3.0,44
410,3.0,3.0,28
411,0.0,0.0,10
412,3.0,3.0,39
413,0.0,0.0,8
414,3.0,3.0,15
415,3.0,3.0,42
416,3.0,3.0,28
417,3.0,3.0,31
418,0.0,0.0,4
419,3.0,3.0,30
420,3.0,3.0,29
421,3.0,3.0,25
422,0.0,0.0,6
423,3.0,3.0,22
424,0.0,0.0,4
425,3.0,3.0,29
426,3.0,3.0,46
427,3.0,3.0,32
428,3.0,3.0,22
429,0.0,0.0,8
430,3.0,3.0,27
431,0.0,0.0,12
432,3.0,3.0,42
433,3.0,3.0,25
434,3.0,3.0,38
435,2.0,2.0,19
436,3.0,3.0,24
437,3.0,3.0,29
438,3.0,3.0,35
439,3.0,3.0,27
440,3.0,3.0,35
441,3.0,3.0,35
442,3.0,3.0,19
443,0.0,0.0,6
444,3.0,3.0,22
445,0.0,0.0,7
446,3.0,3.0,19
447,3.0,3.0,26
448,3.0,3.0,29
449,3.0,3.0,20
450,3.0,3.0,26
451,3.0,3.0,30
452,3.0,3.0,32
453,3.0,3.0,31
454,3.0,3.0,23
455,3.0,3.0,34
456,3.0,3.0,16
457,0.0,0.0,4
458,0.0,0.0,18
459,3.0,3.0,23
460,3.0,3.0,35
461,3.0,3.0,25
462,0.0,0.0,6
463,3.0,3.0,19
464,0.0,0.0,9
465,3.0,3.0,30
466,0.0,0.0,4
467,3.0,3.0,38
468,3.0,3.0,26
469,3.0,3.0,27
470,0.0,0.0,8
471,3.0,3.0,22
472,0.0,0.0,7
473,3.0,3.0,15
474,3.0,3.0,24
475,3.0,3.0,30
476,3.0,3.0,31
477,3.0,3.0,27
478,3.0,3.0,21
479,3.0,3.0,23
480,0.0,0.0,10
481,3.0,3.0,21
482,0.0,0.0,8
483,0.0,0.0,21
484,3.0,3.0,23
485,3.0,3.0,28
486,3.0,3.0,19
487,3.0,3.0,16
488,3.0,3.0,22
489,3.0,3.0,17
490,3.0,3.0,21
491,3.0,3.0,28
492,3.0,3.0,27
493,0.0,0.0,17
494,3.0,3.0,17
495,3.0,3.0,21
496,3.0,3.0,25
497,3.0,3.0,25
498,0.0,0.0,8
499,3.0,3.0,19
500,0.0,0.0,9
501,3.0,3.0,24
502,3.0,3.0,23
503,3.0,3.0,21
504,3.0,3.0,27
505,3.0,3.0,23
506,3.0,3.0,17
507,3.0,3.0,39
508,3.0,3.0,15
509,3.0,3.0,18
510,0.0,0.0,5
511,3.0,3.0,18
512,3.0,3.0,21
513,3.0,3.0,17
514,0.0,0.0,8
515,0.0,0.0,8
516,3.0,3.0,27
517,3.0,3.0,27
518,3.0,3.0,18
519,3.0,3.0,22
520,3.0,3.0,17
521,3.0,3.0,23
522,3.0,3.0,17
523,0.0,0.0,8
524,3.0,3.0,17
525,3.0,3.0,20
526,3.0,3.0,21
527,3.0,3.0,24
528,3.0,3.0,19
529,3.0,3.0,20
530,3.0,3.0,19
531,3.0,3.0,28
532,3.0,3.0,33
533,0.0,0.0,12
534,3.0,3.0,31
535,3.0,3.0,24
536,3.0,3.0,26
537,3.0,3.0,21
538,3.0,3.0,25
539,3.0,3.0,23
540,3.0,3.0,20
541,3.0,3.0,22
542,3.0,3.0,17
543,3.0,3.0,18
544,3.0,3.0,17
545,3.0,3.0,15
546,3.0,3.0,17
547,0.0,0.0,12
548,3.0,3.0,17
549,3.0,3.0,21
550,0.0,0.0,12
551,3.0,3.0,17
552,3.0,3.0,17
553,3.0,3.0,20
554,3.0,3.0,24
555,3.0,3.0,20
556,3.0,3.0,24
557,3.0,3.0,15
